caso,similitud_esperada_semantica,similitud_observada_semantica,coincide_semantica,semantic_runnable,semantic_reason,semantic_function_a,semantic_function_b,semantic_tested_arity,semantic_total_cases,semantic_both_return_count,semantic_matching_return_count,semantic_successful_overlap,semantic_output_similarity,semantic_score,nota
Misma logica con nombres cambiados,alta,alta,si,si,ok,sum_even_numbers,WEARZQ,1,10,3,3,0.3,1.0,1.0,"Debe dar similitud alta: cambian nombres, pero la estructura lexica es parecida."
Misma logica con comentarios y docstrings diferentes,alta,alta,si,si,ok,count_positive,positives,1,10,4,4,0.4,1.0,1.0,Debe dar similitud alta: comentarios y docstrings se eliminan en preprocesamiento.
Mismo patron con while en lugar de for,alta,alta,si,si,ok,sum_values,sum_values_indexed,1,10,4,4,0.4,1.0,1.0,"Debe quedar en similitud media: la intencion es parecida, pero cambia el flujo lexico."
Codigo distinto,baja,baja,si,si,ok,factorial,greet_user,1,10,0,0,0.0,0.0,0.25,"Debe bajar la similitud: cambian tokens, operadores y flujo de control."
Algoritmos de busqueda similares,alta,alta,si,si,ok,contains_value,find_item,2,7,5,5,0.7142857142857143,1.0,1.0,Debe dar similitud muy alta: se conserva el mismo patron de control y retorno.
Misma salida con implementacion muy distinta,alta,alta,si,si,ok,square_numbers,square_numbers_compact,1,10,4,4,0.4,1.0,1.0,"Debe bajar respecto a casos identicos: mismo objetivo, pero forma lexica diferente."
Cambio de operadores de comparacion,baja,baja,si,si,ok,filter_adults,filter_minors,1,10,4,1,0.4,0.25,0.25,"Debe mostrar similitud parcial: estructura parecida, condicion logica diferente."
Misma operacion con literales distintos,baja,baja,si,si,ok,discount,apply_tax,1,10,5,1,0.5,0.2,0.2,Debe mantener similitud alta: los literales numericos se normalizan como LITERAL.
Funciones con orden de instrucciones cambiado,alta,alta,si,si,ok,normalize_name,format_name,2,7,2,2,0.2857142857142857,1.0,1.0,Debe dar similitud alta pero no perfecta: tokens parecidos con orden parcialmente cambiado.
Uso de funciones integradas distinto,alta,alta,si,si,ok,average,mean,1,10,3,3,0.3,1.0,1.0,"Debe quedar en similitud media: misma idea matematica, expresion lexica mas compacta."
Caso extremo: codigo vacio contra funcion,baja,baja,si,no,missing_function,,,,0,0,0,0.0,0.0,0.0,Debe dar similitud baja: un lado no aporta tokens.
