row_index,file_a,file_b,label,clone_type_original,linear_svc_pred,linear_svc_acerto,logistic_regression_pred,logistic_regression_acerto,random_forest_pred,random_forest_acerto
0,submission1.py,submission2.py,1,1,1,True,1,True,1,True
1,submission1.py,submission3.py,0,0,2,False,0,True,0,True
2,submission1.py,submission4.py,1,3,3,True,3,True,3,True
3,submission1.py,submission5.py,0,0,2,False,0,True,0,True
4,submission2.py,submission3.py,0,0,2,False,0,True,0,True
5,submission2.py,submission4.py,1,3,3,True,3,True,3,True
6,submission2.py,submission5.py,0,0,2,False,0,True,0,True
7,submission3.py,submission4.py,0,0,0,True,0,True,0,True
8,submission3.py,submission5.py,0,0,2,False,0,True,0,True
9,submission4.py,submission5.py,0,0,0,True,0,True,0,True
10,submission6.py,submission7.py,1,2,2,True,2,True,2,True
11,submission8.py,submission9.py,1,2,2,True,2,True,2,True
12,submission10.py,submission11.py,0,0,0,True,0,True,0,True
13,submission14.py,submission15.py,1,2,2,True,2,True,2,True
14,submission16.py,submission17.py,1,3,0,False,0,False,0,False
15,submission18.py,submission19.py,1,2,2,True,2,True,2,True
16,submission20.py,submission21.py,1,2,2,True,2,True,2,True
17,submission22.py,submission23.py,1,3,2,False,2,False,2,False
18,submission24.py,submission25.py,1,2,2,True,2,True,2,True
19,submission26.py,submission27.py,1,2,2,True,2,True,2,True
20,submission28.py,submission29.py,1,2,2,True,2,True,2,True
21,submission30.py,submission31.py,0,0,0,True,3,False,3,False
22,submission31.py,submission32.py,1,1,1,True,1,True,1,True
23,submission33.py,submission34.py,0,0,0,True,0,True,0,True
24,submission35.py,submission36.py,0,0,0,True,0,True,0,True
25,submission35.py,submission37.py,1,2,2,True,2,True,2,True
26,submission36.py,submission37.py,0,0,0,True,0,True,0,True
27,submission35.py,submission38.py,0,0,0,True,0,True,0,True
28,submission36.py,submission38.py,0,0,0,True,0,True,0,True
29,submission37.py,submission38.py,0,0,0,True,0,True,0,True
30,submission35.py,submission39.py,1,2,2,True,2,True,2,True
31,submission36.py,submission39.py,0,0,0,True,0,True,0,True
32,submission37.py,submission39.py,1,2,2,True,2,True,2,True
33,submission38.py,submission39.py,0,0,0,True,0,True,0,True
34,submission40.py,submission41.py,1,2,2,True,2,True,0,False
35,submission40.py,submission42.py,1,2,2,True,1,False,2,True
36,submission41.py,submission42.py,1,2,0,False,2,True,0,False
37,submission40.py,submission43.py,0,0,0,True,0,True,0,True
38,submission41.py,submission43.py,0,0,0,True,0,True,0,True
39,submission42.py,submission43.py,0,0,0,True,0,True,0,True
40,submission40.py,submission44.py,1,2,2,True,2,True,2,True
41,submission41.py,submission44.py,1,2,2,True,2,True,0,False
42,submission42.py,submission44.py,1,2,2,True,2,True,2,True
43,submission43.py,submission44.py,0,0,0,True,0,True,0,True
44,submission45.py,submission46.py,0,0,0,True,0,True,0,True
45,submission45.py,submission47.py,1,2,2,True,2,True,2,True
46,submission46.py,submission47.py,0,0,0,True,0,True,0,True
47,submission45.py,submission48.py,0,0,0,True,0,True,0,True
48,submission46.py,submission48.py,0,0,0,True,0,True,0,True
49,submission47.py,submission48.py,0,0,0,True,0,True,0,True
50,submission45.py,submission49.py,1,2,2,True,2,True,2,True
51,submission46.py,submission49.py,0,0,0,True,0,True,0,True
52,submission47.py,submission49.py,1,2,2,True,2,True,2,True
53,submission48.py,submission49.py,0,0,0,True,0,True,0,True
54,submission50.py,submission51.py,0,0,0,True,0,True,0,True
55,submission50.py,submission52.py,1,2,2,True,2,True,0,False
56,submission51.py,submission52.py,0,0,0,True,0,True,0,True
57,submission50.py,submission53.py,0,0,0,True,0,True,0,True
58,submission51.py,submission53.py,0,0,0,True,0,True,0,True
59,submission52.py,submission53.py,0,0,0,True,0,True,0,True
60,submission50.py,submission54.py,1,3,0,False,0,False,0,False
