caso,similitud_esperada_lexica,similitud_esperada_estructural,similitud_esperada_semantica,similitud_observada_lexica,similitud_observada_estructural,similitud_observada_semantica,coincide_lexica,coincide_estructural,coincide_semantica,string_exact_match,string_similarity_ratio,jaccard_similarity,tfidf_cosine_similarity,markov_similarity,kl_divergence_a_to_b,kl_divergence_b_to_a,lexical_statistical_score,ast_node_type_jaccard,ast_sequence_similarity,ast_node_count_similarity,ast_depth_similarity,tree_edit_distance,tree_edit_similarity,apted_available,apted_tree_edit_distance,apted_tree_edit_similarity,structural_score,semantic_runnable,semantic_reason,semantic_output_similarity,semantic_successful_overlap,semantic_score,nota
Misma logica con nombres cambiados,alta,alta,alta,alta,alta,alta,si,si,si,False,0.5545454545454546,1.0,1.0000000000000002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,1.0,0.3,1.0,"Debe dar similitud alta: cambian nombres, pero la estructura lexica es parecida."
Misma logica con comentarios y docstrings diferentes,alta,alta,alta,alta,alta,alta,si,si,si,False,0.5980392156862745,0.8571428571428571,0.9757180007206455,0.9827502429543246,0.8355569951807548,0.7774241675197169,0.8571202034072014,0.8666666666666667,0.9090909090909091,0.9130434782608696,0.875,6,0.7391304347826086,no,,,0.8468017127799736,si,ok,1.0,0.4,1.0,Debe dar similitud alta: comentarios y docstrings se eliminan en preprocesamiento.
Mismo patron con while en lugar de for,media,media,alta,media,media,alta,si,si,si,False,0.7342995169082126,0.6,0.9403556079641308,0.954633801572577,2.1773800907418055,2.543749949567655,0.7125472443414302,0.625,0.6666666666666666,0.5517241379310345,0.8571428571428572,17,0.4137931034482759,no,,,0.5842775041050903,si,ok,1.0,0.4,1.0,"Debe quedar en similitud media: la intencion es parecida, pero cambia el flujo lexico."
Codigo distinto,media,media,baja,media,media,baja,si,si,si,False,0.42105263157894735,0.5714285714285714,0.869625945495349,0.8688046647230321,3.6679819710879396,2.559261676601979,0.6546962443975688,0.4444444444444444,0.631578947368421,0.7272727272727273,1.0,15,0.31818181818181823,no,,,0.5513290802764487,si,ok,0.0,0.0,0.25,"Debe bajar la similitud: cambian tokens, operadores y flujo de control."
Algoritmos de busqueda similares,alta,alta,alta,alta,alta,alta,si,si,si,False,0.6009852216748769,1.0,0.9999999999999998,1.0,0.0,0.0,0.9999999999999998,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,1.0,0.7142857142857143,1.0,Debe dar similitud muy alta: se conserva el mismo patron de control y retorno.
Misma salida con implementacion muy distinta,media,baja,alta,media,baja,alta,si,si,si,False,0.5568181818181818,0.6666666666666666,0.904067356294351,0.9079365079365079,2.4277185563388604,2.5755853948466894,0.7099234073125104,0.3888888888888889,0.42424242424242425,0.65,0.875,20,0.0,no,,,0.36883838383838385,si,ok,1.0,0.4,1.0,"Debe bajar respecto a casos identicos: mismo objetivo, pero forma lexica diferente."
Cambio de operadores de comparacion,alta,alta,baja,alta,alta,baja,si,si,si,False,0.6985645933014354,0.875,0.9846844188196844,1.0,0.703344513966265,0.703344513966265,0.8753213846757354,0.8823529411764706,0.9545454545454546,1.0,1.0,1,0.9545454545454546,no,,,0.9514705882352942,si,ok,0.25,0.4,0.25,"Debe mostrar similitud parcial: estructura parecida, condicion logica diferente."
Misma operacion con literales distintos,alta,alta,baja,alta,alta,baja,si,si,si,False,0.5301204819277109,1.0,0.9999999999999998,1.0,0.0,0.0,0.9999999999999998,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,0.2,0.5,0.2,Debe mantener similitud alta: los literales numericos se normalizan como LITERAL.
Funciones con orden de instrucciones cambiado,alta,alta,alta,alta,alta,alta,si,si,si,False,0.7661691542288557,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,1.0,0.2857142857142857,1.0,Debe dar similitud alta pero no perfecta: tokens parecidos con orden parcialmente cambiado.
Uso de funciones integradas distinto,media,media,alta,media,media,alta,si,si,si,False,0.4,0.5833333333333334,0.9047656203055574,0.891156462585034,4.016993280952925,0.32263320551994584,0.6877561784368496,0.6428571428571429,0.6470588235294118,0.6190476190476191,1.0,13,0.38095238095238093,no,,,0.5974789915966386,si,ok,1.0,0.3,1.0,"Debe quedar en similitud media: misma idea matematica, expresion lexica mas compacta."
Caso extremo: codigo vacio contra funcion,baja,baja,baja,baja,baja,baja,si,si,si,False,0.0,0.0,0.0,0.6666666666666667,0.10458002422931828,0.1242975356614335,0.31279586066014,0.16666666666666666,0.2857142857142857,0.16666666666666663,0.19999999999999996,5,0.16666666666666663,no,,,0.19976190476190472,no,missing_function,0.0,0.0,0.0,Debe dar similitud baja: un lado no aporta tokens.
